
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
01972;02361;00505;03792;00394;03885;00397;03849;00000;000;00000;000;
01984;02369;00507;03818;00393;03917;00399;03880;00000;000;00000;000;
01997;02390;00509;03844;00395;03936;00400;03899;00000;000;00000;000;
02011;02397;00510;03867;00398;03970;00399;03930;00000;000;00000;000;
02021;02424;00512;03893;00398;03989;00404;03951;03461;000;00000;000;
02034;02426;00515;03922;00399;04020;00405;03986;00035;000;03500;005;
02044;02453;00519;03907;00395;03922;00401;03890;00036;000;03604;005;
02001;02383;00511;03851;00396;03953;00397;03924;00035;000;03299;005;
02015;02413;00511;03864;00393;03913;00400;03876;00036;000;03422;005;
01996;02381;00506;03837;00395;03942;00397;03912;00035;000;03285;005;
02008;02403;00508;03847;00392;03883;00395;03852;00036;000;03378;005;
01982;02370;00504;03810;00391;03916;00397;03886;00000;000;03218;005;
01994;02388;00506;03819;00390;03856;00393;03825;00000;000;03423;005;
01969;02350;00502;03783;00389;03890;00395;03857;00036;000;03255;005;
01980;02371;00503;03796;00388;03842;00393;03807;00035;000;03348;005;
01962;02344;00499;03768;00389;03874;00392;03844;00000;000;03222;005;
01973;02360;00499;03793;00391;03886;00393;03848;00036;000;03292;005;
01983;02374;00504;03823;00392;03922;00397;03888;00035;000;03355;005;
01993;02391;00508;03838;00392;03914;00395;03875;00000;000;03431;005;
01996;02383;00506;03842;00393;03944;00396;03908;00000;000;03413;005;
02005;02400;00508;03862;00392;03952;00398;03915;00036;000;03357;005;
02019;02409;00509;03888;00397;03994;00399;03959;00035;000;03424;005;
02028;02427;00512;03910;00395;04011;00402;03975;00035;000;03494;005;
02043;02443;00515;03942;00399;04048;00403;04013;00036;000;03571;005;
02051;02459;00518;03962;00398;04065;00407;04031;00036;000;03505;005;
02067;02472;00519;03993;00403;04104;00408;04066;00036;000;03593;005;
02078;02487;00522;04013;00402;04118;00410;04085;00036;000;03657;005;
